"id","alumno_id","curso_id","periodo","vez_cursado","nota_pc1","nota_parcial","nota_pc2","promedio_proyectado","asistencia_porcentaje","estado"
"28","7","26","2025-II","1","11.42","9.26",,"10.34","70","MATRICULADO"
"29","7","17","2025-II","1","11.28","9.57",,"10.43","74","MATRICULADO"
"30","7","11","2025-II","1","9.61","8.99",,"9.3","78","MATRICULADO"
"31","8","12","2025-II","3","9.97","7.63",,"8.8","59","MATRICULADO"
"32","8","28","2025-II","1","5.75","7.33",,"6.54","61","MATRICULADO"
"33","8","9","2025-II","1","6.88","7.59","5.6","7.24","57","MATRICULADO"
"34","8","2","2025-II","1","6.92","5.66",,"6.29","58","MATRICULADO"
"35","8","13","2025-II","1","5.77","10.43",,"8.1","62","MATRICULADO"
"36","8","26","2025-II","2","10.01","8.5",,"9.26","57","MATRICULADO"
"37","9","4","2025-II","1","5.95","7.21",,"6.58","59","MATRICULADO"
"38","9","6","2025-II","1","8.23","7.03",,"7.63","63","MATRICULADO"
"39","9","16","2025-II","2","6.4","6.4",,"6.4","58","MATRICULADO"
"40","9","8","2025-II","2","6.8","9.58",,"8.19","58","MATRICULADO"
"41","10","12","2025-II","2","9.91","9.12",,"9.52","77","MATRICULADO"
"42","10","15","2025-II","1","11.39","9.62",,"10.51","73","MATRICULADO"
"43","10","8","2025-II","2","12.45","11.62",,"12.04","77","MATRICULADO"
"44","10","25","2025-II","2","9.37","10.35",,"9.86","73","MATRICULADO"
"45","11","15","2025-II","1","7.33","7.98",,"7.66","58","MATRICULADO"
"46","11","13","2025-II","2","5.65","8.91",,"7.28","58","MATRICULADO"
"47","11","16","2025-II","1","7.98","7.11",,"7.55","56","MATRICULADO"
"48","11","19","2025-II","1","6.42","6.35","4.3","6.39","57","MATRICULADO"
"49","12","1","2025-II","1","8.41","6.88",,"7.65","61","MATRICULADO"
"50","12","10","2025-II","3","9.41","9.38",,"9.4","60","MATRICULADO"
"51","12","4","2025-II","1","5.67","7.96",,"6.82","58","MATRICULADO"
"52","12","9","2025-II","1","6.97","7.97",,"7.47","60","MATRICULADO"
"53","12","13","2025-II","1","7.21","8.44",,"7.83","64","MATRICULADO"
"54","13","18","2025-II","1","9.75","8.5",,"9.13","72","MATRICULADO"
"55","13","7","2025-II","1","11.56","11.77",,"11.67","74","MATRICULADO"
"56","13","6","2025-II","1","9.42","11.64",,"10.53","75","MATRICULADO"
"57","13","2","2025-II","1","8.91","8.95",,"8.93","72","MATRICULADO"
"58","13","22","2025-II","1","12.56","10.41",,"11.49","74","MATRICULADO"
"59","13","8","2025-II","1","10.53","11.11",,"10.82","73","MATRICULADO"
"60","14","5","2025-II","1","12.34","10.91",,"11.63","71","MATRICULADO"
"61","14","3","2025-II","2","10.69","12.29",,"11.49","74","MATRICULADO"
"62","14","4","2025-II","2","10.48","11.17",,"10.83","74","MATRICULADO"
"63","14","23","2025-II","1","10.21","8.83",,"9.52","73","MATRICULADO"
"64","14","10","2025-II","1","13.35","10.72",,"12.04","73","MATRICULADO"
"65","14","7","2025-II","2","8.97","8.63",,"8.8","78","MATRICULADO"
"66","15","5","2025-II","1","18.42","15.42",,"16.92","99","MATRICULADO"
"67","15","19","2025-II","1","15.96","15.65",,"15.81","96","MATRICULADO"
"68","15","3","2025-II","1","15.21","15.99",,"15.6","94","MATRICULADO"
"69","15","23","2025-II","1","16.75","17.66",,"17.21","92","MATRICULADO"
"70","15","16","2025-II","1","14.48","14.88",,"14.68","97","MATRICULADO"
"71","16","7","2025-II","2","8.91","6.92",,"7.92","58","MATRICULADO"
"72","16","1","2025-II","1","7.85","7.4",,"7.63","59","MATRICULADO"
"73","16","9","2025-II","2","6.59","7",,"6.8","63","MATRICULADO"
"74","16","10","2025-II","2","6.31","8.73",,"7.52","62","MATRICULADO"
"75","16","23","2025-II","1","6.33","7.11",,"6.72","56","MATRICULADO"
"76","16","16","2025-II","1","6.5","6.1",,"6.3","55","MATRICULADO"
"77","17","23","2025-II","1","14.06","12.23",,"13.15","89","MATRICULADO"
"78","17","10","2025-II","1","11.71","10.22",,"10.97","83","MATRICULADO"
"79","17","15","2025-II","1","13.33","11.57",,"12.45","87","MATRICULADO"
"80","17","18","2025-II","1","11.78","12.77",,"12.28","89","MATRICULADO"
"81","18","20","2025-II","1","16.71","14.26",,"15.49","98","MATRICULADO"
"82","18","2","2025-II","1","13.93","15.02",,"14.48","92","MATRICULADO"
"83","18","12","2025-II","1","14.76","13.67",,"14.22","94","MATRICULADO"
"84","18","28","2025-II","1","16.71","14.87",,"15.79","94","MATRICULADO"
"85","19","21","2025-II","1","6.23","5.86",,"6.05","64","MATRICULADO"
"86","19","11","2025-II","2","6.85","9.25",,"8.05","64","MATRICULADO"
"87","19","13","2025-II","1","5.94","6.34",,"6.14","60","MATRICULADO"
"88","19","6","2025-II","1","9.12","8.75",,"8.94","55","MATRICULADO"
"89","20","12","2025-II","1","16.89","14.54",,"15.72","90","MATRICULADO"
"90","20","1","2025-II","1","17.47","18.31",,"17.89","94","MATRICULADO"
"91","20","9","2025-II","1","14.2","17.66",,"15.93","97","MATRICULADO"
"92","20","6","2025-II","1","17.22","14.25",,"15.74","95","MATRICULADO"
"93","20","4","2025-II","1","13.75","17.99",,"15.87","93","MATRICULADO"
"94","21","7","2025-II","1","9.01","10.15",,"9.58","60","MATRICULADO"
"95","21","27","2025-II","2","9.7","7.16",,"8.43","56","MATRICULADO"
"96","21","20","2025-II","3","6.12","8.07",,"7.1","56","MATRICULADO"
"97","21","13","2025-II","1","10.21","9.21",,"9.71","63","MATRICULADO"
"98","22","12","2025-II","1","10.63","11.86",,"11.25","86","MATRICULADO"
"99","22","27","2025-II","1","9.56","13.11",,"11.34","85","MATRICULADO"
"100","22","20","2025-II","1","9.82","13.48",,"11.65","87","MATRICULADO"
"101","22","16","2025-II","1","12.14","11.07",,"11.61","89","MATRICULADO"
"102","23","20","2025-II","1","11.37","9.96",,"10.67","77","MATRICULADO"
"103","23","23","2025-II","1","11.46","11.32",,"11.39","70","MATRICULADO"
"104","23","16","2025-II","1","9.3","9.16",,"9.23","71","MATRICULADO"
"105","23","15","2025-II","2","11.63","8.62",,"10.13","72","MATRICULADO"
"106","23","5","2025-II","2","11.96","10.33",,"11.15","77","MATRICULADO"
"107","23","19","2025-II","2","10.09","10.54",,"10.32","70","MATRICULADO"
"108","24","24","2025-II","1","12.14","9.04",,"10.59","73","MATRICULADO"
"109","24","13","2025-II","1","12.12","13.33",,"12.73","76","MATRICULADO"
"110","24","11","2025-II","1","9.33","9.9",,"9.62","79","MATRICULADO"
"111","24","19","2025-II","1","9.61","9.35",,"9.48","71","MATRICULADO"
"112","24","12","2025-II","1","10.74","11.59",,"11.17","77","MATRICULADO"
"113","24","25","2025-II","2","8.52","11.74",,"10.13","72","MATRICULADO"
"114","25","28","2025-II","1","10.99","12.74",,"11.87","77","MATRICULADO"
"115","25","5","2025-II","1","9.92","12.38",,"11.15","70","MATRICULADO"
"116","25","23","2025-II","1","9.62","10.22",,"9.92","70","MATRICULADO"
"117","25","6","2025-II","1","11.75","12.03",,"11.89","75","MATRICULADO"
"118","25","22","2025-II","2","9.67","12.76",,"11.22","75","MATRICULADO"
"119","26","23","2025-II","1","13.95","13.52",,"13.74","97","MATRICULADO"
"120","26","20","2025-II","1","15.12","15.95",,"15.54","94","MATRICULADO"
"121","26","25","2025-II","1","13.67","16",,"14.84","93","MATRICULADO"
"122","26","14","2025-II","1","14.54","16.53",,"15.54","94","MATRICULADO"
"123","26","7","2025-II","1","17.85","16.98",,"17.42","98","MATRICULADO"
"124","27","12","2025-II","1","12.89","9",,"10.95","78","MATRICULADO"
"125","27","1","2025-II","1","11","13.32",,"12.16","73","MATRICULADO"
"126","27","20","2025-II","1","11.46","10.23",,"10.85","79","MATRICULADO"
"127","27","21","2025-II","1","12.04","9.54",,"10.79","79","MATRICULADO"
"128","27","27","2025-II","1","9.04","11.34",,"10.19","75","MATRICULADO"
"129","27","26","2025-II","1","12.85","11.6",,"12.23","74","MATRICULADO"
"130","28","11","2025-II","2","9.82","7.21",,"8.52","56","MATRICULADO"
"131","28","16","2025-II","1","7.75","6.88",,"7.32","55","MATRICULADO"
"132","28","9","2025-II","1","9.32","10",,"9.66","57","MATRICULADO"
"133","28","10","2025-II","2","6.49","7.87",,"7.18","62","MATRICULADO"
"134","29","8","2025-II","1","10.73","9.78",,"10.26","79","MATRICULADO"
"135","29","26","2025-II","1","9.95","8.53",,"9.24","71","MATRICULADO"
"136","29","23","2025-II","1","8.62","11.87",,"10.25","73","MATRICULADO"
"137","29","14","2025-II","1","10.37","9.24",,"9.81","76","MATRICULADO"
"138","30","26","2025-II","1","13.52","13.96",,"13.74","80","MATRICULADO"
"139","30","16","2025-II","1","13.32","13.22",,"13.27","84","MATRICULADO"
"140","30","25","2025-II","1","14.41","12.21",,"13.31","87","MATRICULADO"
"141","30","6","2025-II","1","12.8","11.33",,"12.07","88","MATRICULADO"
"142","30","5","2025-II","1","12.41","10.93",,"11.67","86","MATRICULADO"
"143","31","22","2025-II","1","9.8","11.96",,"10.88","82","MATRICULADO"
"144","31","27","2025-II","1","10.67","13.28",,"11.98","80","MATRICULADO"
"145","31","4","2025-II","1","13.41","12.46",,"12.94","86","MATRICULADO"
"146","31","9","2025-II","1","10.5","10.27",,"10.39","81","MATRICULADO"
"147","31","12","2025-II","1","10.09","10.54",,"10.32","86","MATRICULADO"
"148","31","23","2025-II","1","10.27","9.8",,"10.04","88","MATRICULADO"
"149","32","3","2025-II","2","9.24","10.89",,"10.07","79","MATRICULADO"
"150","32","9","2025-II","1","10.83","10",,"10.42","71","MATRICULADO"
"151","32","18","2025-II","1","9.41","10.87",,"10.14","78","MATRICULADO"
"152","32","20","2025-II","1","12.41","8.51",,"10.46","76","MATRICULADO"
"153","33","28","2025-II","1","8.33","8.88",,"8.61","61","MATRICULADO"
"154","33","12","2025-II","1","8.8","9.58",,"9.19","55","MATRICULADO"
"155","33","1","2025-II","1","10.02","8.43",,"9.23","57","MATRICULADO"
"156","33","10","2025-II","2","10.27","7.55",,"8.91","56","MATRICULADO"
"157","33","21","2025-II","3","10.44","9.92",,"10.18","59","MATRICULADO"
"158","34","12","2025-II","1","17.8","13.64",,"15.72","95","MATRICULADO"
"159","34","20","2025-II","1","17.59","18.49",,"18.04","95","MATRICULADO"
"160","34","26","2025-II","1","15.45","14.74",,"15.1","90","MATRICULADO"
"161","34","18","2025-II","1","17.75","15.56",,"16.66","95","MATRICULADO"
"162","35","20","2025-II","1","10.54","11.23",,"10.89","75","MATRICULADO"
"163","35","25","2025-II","1","8.54","9.64",,"9.09","71","MATRICULADO"
"164","35","26","2025-II","1","10.54","10.22",,"10.38","74","MATRICULADO"
"165","35","13","2025-II","1","9.39","12.48",,"10.94","74","MATRICULADO"
"166","35","24","2025-II","1","8.78","11.06",,"9.92","73","MATRICULADO"
"167","36","24","2025-II","1","10.24","11.23",,"10.74","82","MATRICULADO"
"168","36","11","2025-II","2","14.34","13.44",,"13.89","80","MATRICULADO"
"169","36","1","2025-II","1","14.34","9.63",,"11.99","82","MATRICULADO"
"170","36","3","2025-II","1","10.93","11.08",,"11.01","87","MATRICULADO"
"171","36","19","2025-II","1","12.82","14.19",,"13.51","86","MATRICULADO"
"172","37","26","2025-II","1","16.6","15.28",,"15.94","99","MATRICULADO"
"173","37","15","2025-II","1","17.91","17.62",,"17.77","94","MATRICULADO"
"174","37","4","2025-II","1","18.13","14.64",,"16.39","93","MATRICULADO"
"175","38","18","2025-II","1","14.32","13.12",,"13.72","87","MATRICULADO"
"176","38","13","2025-II","2","10.14","11.24",,"10.69","83","MATRICULADO"
"177","38","21","2025-II","1","14.35","14.17",,"14.26","87","MATRICULADO"
"178","38","28","2025-II","1","9.96","12.77",,"11.37","89","MATRICULADO"
"179","38","1","2025-II","2","11.7","14.04",,"12.87","82","MATRICULADO"
"180","38","10","2025-II","2","11.7","14.07",,"12.89","82","MATRICULADO"
"181","39","17","2025-II","1","13.73","15.98",,"14.86","93","MATRICULADO"
"182","39","7","2025-II","1","14.44","14.51",,"14.48","94","MATRICULADO"
"183","39","18","2025-II","1","17.62","14.59",,"16.11","96","MATRICULADO"
"184","39","13","2025-II","1","15.43","16.39",,"15.91","97","MATRICULADO"
"185","39","27","2025-II","1","16.22","17.84",,"17.03","97","MATRICULADO"
"186","40","25","2025-II","1","14.03","17.94",,"15.99","91","MATRICULADO"
"187","40","28","2025-II","1","15.83","15.59",,"15.71","96","MATRICULADO"
"188","40","7","2025-II","1","13.85","16.74",,"15.3","90","MATRICULADO"
"189","41","9","2025-II","1","12.14","11.74",,"11.94","70","MATRICULADO"
"190","41","10","2025-II","1","11.92","12.48",,"12.2","79","MATRICULADO"
"191","41","7","2025-II","1","9.99","9.96",,"9.98","75","MATRICULADO"
"192","41","27","2025-II","2","10.2","11.45",,"10.83","79","MATRICULADO"
"193","41","26","2025-II","1","13.35","11.63",,"12.49","72","MATRICULADO"
"194","42","26","2025-II","2","6.35","6.04",,"6.2","55","MATRICULADO"
"195","42","23","2025-II","2","5.76","7.51",,"6.64","63","MATRICULADO"
"196","42","2","2025-II","1","8.32","6.15",,"7.24","64","MATRICULADO"
"197","42","12","2025-II","2","9.15","7.43",,"8.29","62","MATRICULADO"
"198","42","16","2025-II","1","6.71","7.12",,"6.92","63","MATRICULADO"
"199","42","15","2025-II","1","6.16","9.25",,"7.71","58","MATRICULADO"
"200","43","1","2025-II","1","10.3","13.38",,"11.84","78","MATRICULADO"
"201","43","3","2025-II","2","12.92","10.17",,"11.55","70","MATRICULADO"
"202","43","2","2025-II","1","9.33","8.62",,"8.98","76","MATRICULADO"
"203","44","28","2025-II","1","10.2","10.29",,"10.25","77","MATRICULADO"
"204","44","22","2025-II","1","11.87","11.28",,"11.58","77","MATRICULADO"
"205","44","4","2025-II","1","9.96","10.83",,"10.4","74","MATRICULADO"
"206","44","25","2025-II","2","10.46","13.29",,"11.88","76","MATRICULADO"
"207","45","3","2025-II","2","9.32","8.28",,"8.8","59","MATRICULADO"
"208","45","22","2025-II","1","6.16","10.36",,"8.26","59","MATRICULADO"
"209","45","12","2025-II","1","6.45","8.28",,"7.37","57","MATRICULADO"
"210","45","23","2025-II","1","6.25","10.29",,"8.27","58","MATRICULADO"
"211","46","5","2025-II","1","8.86","7.62",,"8.24","56","MATRICULADO"
"212","46","7","2025-II","1","9.27","5.72",,"7.5","64","MATRICULADO"
"213","46","18","2025-II","2","5.77","8.02",,"6.9","58","MATRICULADO"
"214","46","8","2025-II","1","6.22","6.65",,"6.44","62","MATRICULADO"
"215","47","21","2025-II","1","9.32","12.39",,"10.86","73","MATRICULADO"
"216","47","19","2025-II","2","11.11","10.03",,"10.57","79","MATRICULADO"
"217","47","27","2025-II","1","12.93","9.63",,"11.28","74","MATRICULADO"
"218","47","20","2025-II","1","13.12","11.7",,"12.41","74","MATRICULADO"
"219","47","6","2025-II","1","9.26","11",,"10.13","70","MATRICULADO"
"220","48","7","2025-II","1","9.85","10.28",,"10.07","79","MATRICULADO"
"221","48","22","2025-II","1","9.99","12.18",,"11.09","77","MATRICULADO"
"222","48","21","2025-II","1","10.99","10.78",,"10.89","77","MATRICULADO"
"223","48","16","2025-II","1","11.75","12.71",,"12.23","72","MATRICULADO"
"224","49","17","2025-II","1","9.52","8.91",,"9.22","64","MATRICULADO"
"225","49","27","2025-II","1","8.64","9.89",,"9.27","60","MATRICULADO"
"226","49","25","2025-II","1","9.45","6.67",,"8.06","62","MATRICULADO"
"227","49","8","2025-II","2","7.92","7.82",,"7.87","63","MATRICULADO"
"228","49","28","2025-II","2","8","9.43",,"8.72","59","MATRICULADO"
"229","50","24","2025-II","1","5.53","8.22",,"6.88","62","MATRICULADO"
"230","50","25","2025-II","1","10.1","8.77",,"9.44","60","MATRICULADO"
"231","50","17","2025-II","1","9.39","8.66",,"9.03","63","MATRICULADO"
"232","50","7","2025-II","1","9.04","6.87",,"7.96","57","MATRICULADO"
"233","50","11","2025-II","2","9.7","8.09",,"8.9","55","MATRICULADO"
"234","51","19","2025-II","2","11.51","13.46",,"12.49","87","MATRICULADO"
"235","51","12","2025-II","1","12.68","13.83",,"13.26","84","MATRICULADO"
"236","51","14","2025-II","1","12.03","14.25",,"13.14","82","MATRICULADO"
"237","51","9","2025-II","1","9.73","13.87",,"11.8","82","MATRICULADO"
"238","51","15","2025-II","1","10.06","13.24",,"11.65","84","MATRICULADO"
"239","52","25","2025-II","1","7.74","6.87",,"7.31","55","MATRICULADO"
"240","52","9","2025-II","1","6.89","7.59",,"7.24","57","MATRICULADO"
"241","52","1","2025-II","1","7.63","5.7",,"6.67","64","MATRICULADO"
"242","52","14","2025-II","1","5.94","5.56",,"5.75","62","MATRICULADO"
"243","53","28","2025-II","1","6.97","5.76",,"6.37","58","MATRICULADO"
"244","53","21","2025-II","1","10.15","7.56",,"8.86","57","MATRICULADO"
"245","53","4","2025-II","1","5.87","8.27",,"7.07","60","MATRICULADO"
"246","53","3","2025-II","1","9.68","10.39",,"10.04","58","MATRICULADO"
"247","54","26","2025-II","1","11.2","9.07",,"10.14","79","MATRICULADO"
"248","54","12","2025-II","1","12.47","10.26",,"11.37","73","MATRICULADO"
"249","54","24","2025-II","2","8.55","12.06",,"10.31","75","MATRICULADO"
"250","54","14","2025-II","1","13.49","10",,"11.75","75","MATRICULADO"
"251","54","18","2025-II","1","9.19","12.92",,"11.06","70","MATRICULADO"
"252","55","19","2025-II","1","9.05","6.82",,"7.94","56","MATRICULADO"
"253","55","5","2025-II","2","7.37","7.3",,"7.34","61","MATRICULADO"
"254","55","9","2025-II","1","7.56","8.59",,"8.08","63","MATRICULADO"
"255","55","11","2025-II","1","6.45","6.98",,"6.72","64","MATRICULADO"
"256","56","25","2025-II","1","18.38","14.86",,"16.62","94","MATRICULADO"
"257","56","9","2025-II","1","14.94","16.01",,"15.48","96","MATRICULADO"
"258","56","21","2025-II","1","17.04","15.23",,"16.14","96","MATRICULADO"
"259","56","1","2025-II","1","14.87","15.01",,"14.94","96","MATRICULADO"
"260","56","15","2025-II","1","16.52","15.61",,"16.07","92","MATRICULADO"
"261","56","6","2025-II","1","14.11","13.56",,"13.84","96","MATRICULADO"
"262","57","21","2025-II","2","11.77","12.31",,"12.04","78","MATRICULADO"
"263","57","27","2025-II","1","9.57","10.64",,"10.11","74","MATRICULADO"
"264","57","6","2025-II","1","9.02","12.91",,"10.97","71","MATRICULADO"
"265","57","25","2025-II","2","10.59","8.96",,"9.78","72","MATRICULADO"
"266","58","27","2025-II","1","10.75","11.61",,"11.18","83","MATRICULADO"
"267","58","15","2025-II","1","10.33","10.45",,"10.39","84","MATRICULADO"
"268","58","19","2025-II","1","14.06","12.57",,"13.32","83","MATRICULADO"
"269","58","24","2025-II","1","11.47","11.62",,"11.55","89","MATRICULADO"
"270","59","3","2025-II","2","9.14","10.52",,"9.83","76","MATRICULADO"
"271","59","27","2025-II","1","10.48","10.67",,"10.58","79","MATRICULADO"
"272","59","18","2025-II","2","11.87","8.85",,"10.36","73","MATRICULADO"
"273","59","12","2025-II","2","10.78","12.72",,"11.75","78","MATRICULADO"
"274","60","6","2025-II","2","11.79","9.29",,"10.54","78","MATRICULADO"
"275","60","17","2025-II","1","13.24","8.97",,"11.11","76","MATRICULADO"
"276","60","25","2025-II","1","11.29","10.99",,"11.14","78","MATRICULADO"
"277","60","13","2025-II","1","9.11","9.17",,"9.14","73","MATRICULADO"
"278","61","10","2025-II","2","11.17","11.81",,"11.49","83","MATRICULADO"
"279","61","4","2025-II","1","11.98","10.14",,"11.06","81","MATRICULADO"
"280","61","11","2025-II","1","14.32","12.36",,"13.34","89","MATRICULADO"
"281","61","3","2025-II","1","12.95","12.81",,"12.88","82","MATRICULADO"
"282","61","7","2025-II","1","11.83","9.66",,"10.75","87","MATRICULADO"
"283","62","15","2025-II","2","9.31","10.36",,"9.84","73","MATRICULADO"
"284","62","21","2025-II","1","12.42","9.05",,"10.74","72","MATRICULADO"
"285","62","19","2025-II","1","12.32","11.26",,"11.79","74","MATRICULADO"
"286","62","20","2025-II","2","9","10.51",,"9.76","77","MATRICULADO"
"287","62","10","2025-II","1","11.83","12.17",,"12","76","MATRICULADO"
"288","62","6","2025-II","1","12.75","11.54",,"12.15","74","MATRICULADO"
"289","63","17","2025-II","1","12.9","10.45",,"11.68","73","MATRICULADO"
"290","63","12","2025-II","2","9.27","11.27",,"10.27","73","MATRICULADO"
"291","63","24","2025-II","1","9.83","9.64",,"9.74","73","MATRICULADO"
"292","63","2","2025-II","1","12.8","11.98",,"12.39","78","MATRICULADO"
"293","64","12","2025-II","1","12.96","13.14",,"13.05","85","MATRICULADO"
"294","64","18","2025-II","1","11.2","11.36",,"11.28","88","MATRICULADO"
"295","64","2","2025-II","1","14.24","10.76",,"12.5","84","MATRICULADO"
"296","64","10","2025-II","1","14.14","12",,"13.07","87","MATRICULADO"
"297","65","12","2025-II","1","11.84","9.46",,"10.65","79","MATRICULADO"
"298","65","7","2025-II","1","10.32","9.56",,"9.94","79","MATRICULADO"
"299","65","6","2025-II","2","8.85","13.15",,"11","74","MATRICULADO"
"300","65","22","2025-II","1","10.22","9.27",,"9.75","77","MATRICULADO"
"301","66","13","2025-II","1","12.56","10.46",,"11.51","75","MATRICULADO"
"302","66","18","2025-II","1","9.9","13",,"11.45","76","MATRICULADO"
"303","66","17","2025-II","1","8.72","10.2",,"9.46","75","MATRICULADO"
"304","66","23","2025-II","1","9.52","8.75",,"9.14","76","MATRICULADO"
"305","67","15","2025-II","1","15.68","16.54",,"16.11","97","MATRICULADO"
"306","67","24","2025-II","1","18.4","15.46",,"16.93","90","MATRICULADO"
"307","67","27","2025-II","1","16.7","15.37",,"16.04","99","MATRICULADO"
"308","67","18","2025-II","1","14.9","16.1",,"15.5","97","MATRICULADO"
"309","67","8","2025-II","1","13.51","14.69",,"14.1","91","MATRICULADO"
"310","67","6","2025-II","1","15.42","15.31",,"15.37","96","MATRICULADO"
"311","68","16","2025-II","1","8.04","5.51",,"6.78","59","MATRICULADO"
"312","68","12","2025-II","1","9.25","8.74",,"9","64","MATRICULADO"
"313","68","1","2025-II","2","7.32","6.4",,"6.86","63","MATRICULADO"
"314","68","15","2025-II","2","9.19","10.29",,"9.74","60","MATRICULADO"
"315","69","1","2025-II","1","10.91","10.85",,"10.88","79","MATRICULADO"
"316","69","4","2025-II","1","9.4","9.32",,"9.36","72","MATRICULADO"
"317","69","26","2025-II","1","12.37","12.34",,"12.36","75","MATRICULADO"
"318","69","9","2025-II","1","11.51","10.15",,"10.83","78","MATRICULADO"
"319","69","7","2025-II","1","11.06","11.64",,"11.35","76","MATRICULADO"
"320","69","5","2025-II","1","9.11","12.88",,"11","70","MATRICULADO"
"321","70","17","2025-II","1","14.05","17.5",,"15.78","96","MATRICULADO"
"322","70","27","2025-II","1","17.12","17.41",,"17.27","97","MATRICULADO"
"323","70","10","2025-II","1","15.78","14.9",,"15.34","90","MATRICULADO"
"324","70","25","2025-II","1","16.92","17.34",,"17.13","97","MATRICULADO"
"325","71","6","2025-II","1","16","18.31",,"17.16","93","MATRICULADO"
"326","71","19","2025-II","1","15.4","18.08",,"16.74","94","MATRICULADO"
"327","71","13","2025-II","1","17.7","18.06",,"17.88","90","MATRICULADO"
"328","71","14","2025-II","1","14.51","16.59",,"15.55","94","MATRICULADO"
"329","71","16","2025-II","1","15.07","18.08",,"16.58","96","MATRICULADO"
"330","72","22","2025-II","1","9.74","10.64",,"10.19","89","MATRICULADO"
"331","72","9","2025-II","1","13.4","10.91",,"12.16","80","MATRICULADO"
"332","72","15","2025-II","1","9.52","10.07",,"9.8","85","MATRICULADO"
"333","72","13","2025-II","1","11.48","11.23",,"11.36","85","MATRICULADO"
"334","73","2","2025-II","1","12.79","12.52",,"12.66","80","MATRICULADO"
"335","73","12","2025-II","1","12.71","10.81",,"11.76","83","MATRICULADO"
"336","73","4","2025-II","1","10.33","10.97",,"10.65","89","MATRICULADO"
"337","73","28","2025-II","1","13.68","11.15",,"12.42","81","MATRICULADO"
"338","74","22","2025-II","1","14.27","10.6",,"12.44","82","MATRICULADO"
"339","74","16","2025-II","1","11.28","13.42",,"12.35","88","MATRICULADO"
"340","74","26","2025-II","2","11.79","10.28",,"11.04","84","MATRICULADO"
"341","75","16","2025-II","1","9.98","6.36",,"8.17","56","MATRICULADO"
"342","75","10","2025-II","2","5.84","9.81",,"7.83","56","MATRICULADO"
"343","75","27","2025-II","3","5.65","5.88",,"5.77","57","MATRICULADO"
"344","75","6","2025-II","2","7.88","9.52",,"8.7","60","MATRICULADO"
"345","75","1","2025-II","1","9.76","9.99",,"9.88","64","MATRICULADO"
"346","76","25","2025-II","1","10.45","8.55",,"9.5","55","MATRICULADO"
"347","76","17","2025-II","1","5.62","10.48",,"8.05","64","MATRICULADO"
"348","76","16","2025-II","2","6.53","8.87",,"7.7","62","MATRICULADO"
"349","76","21","2025-II","1","6.99","9.24",,"8.12","63","MATRICULADO"
"350","77","18","2025-II","1","10.28","8.68",,"9.48","71","MATRICULADO"
"351","77","13","2025-II","1","10.34","13.47",,"11.91","78","MATRICULADO"
"352","77","10","2025-II","2","11.2","10.3",,"10.75","71","MATRICULADO"
"353","77","24","2025-II","1","11.08","12.38",,"11.73","73","MATRICULADO"
"354","78","20","2025-II","1","12.17","14.13",,"13.15","80","MATRICULADO"
"355","78","11","2025-II","1","12.88","10.06",,"11.47","85","MATRICULADO"
"356","78","10","2025-II","2","10.2","12.68",,"11.44","87","MATRICULADO"
